[start] episodes=300
Episode 259/300, BossReward: 646.90, EnemyReward: 323.00, eps(B):0.01, eps(E):0.01
Episode 260/300, BossReward: 605.30, EnemyReward: 435.85, eps(B):0.01, eps(E):0.01
Episode 261/300, BossReward: 562.90, EnemyReward: 249.15, eps(B):0.01, eps(E):0.01
Episode 262/300, BossReward: 677.40, EnemyReward: 127.30, eps(B):0.01, eps(E):0.01
Episode 263/300, BossReward: 694.90, EnemyReward: 200.65, eps(B):0.01, eps(E):0.01
Episode 264/300, BossReward: 649.60, EnemyReward: 118.65, eps(B):0.01, eps(E):0.01
Episode 265/300, BossReward: 699.00, EnemyReward: 44.75, eps(B):0.01, eps(E):0.01
Episode 266/300, BossReward: 636.70, EnemyReward: 188.05, eps(B):0.01, eps(E):0.01
Episode 267/300, BossReward: 630.80, EnemyReward: 146.90, eps(B):0.01, eps(E):0.01
Episode 268/300, BossReward: 653.80, EnemyReward: 112.45, eps(B):0.01, eps(E):0.01
Episode 269/300, BossReward: 682.70, EnemyReward: 219.65, eps(B):0.01, eps(E):0.01
Episode 270/300, BossReward: 697.70, EnemyReward: 46.70, eps(B):0.01, eps(E):0.01
Episode 271/300, BossReward: 554.40, EnemyReward: 461.95, eps(B):0.01, eps(E):0.01
Episode 272/300, BossReward: 688.90, EnemyReward: 209.90, eps(B):0.01, eps(E):0.01
Episode 273/300, BossReward: 672.00, EnemyReward: 235.30, eps(B):0.01, eps(E):0.01
Episode 274/300, BossReward: 508.30, EnemyReward: 530.85, eps(B):0.01, eps(E):0.01
Episode 275/300, BossReward: 449.30, EnemyReward: 569.25, eps(B):0.01, eps(E):0.01
Episode 276/300, BossReward: 670.90, EnemyReward: 236.75, eps(B):0.01, eps(E):0.01
Episode 277/300, BossReward: 643.80, EnemyReward: 327.55, eps(B):0.01, eps(E):0.01
Episode 278/300, BossReward: 687.10, EnemyReward: 262.50, eps(B):0.01, eps(E):0.01
Episode 279/300, BossReward: 583.20, EnemyReward: 218.40, eps(B):0.01, eps(E):0.01
Episode 280/300, BossReward: 648.60, EnemyReward: 120.20, eps(B):0.01, eps(E):0.01
Episode 281/300, BossReward: 592.20, EnemyReward: 255.10, eps(B):0.01, eps(E):0.01
Episode 282/300, BossReward: 582.80, EnemyReward: 218.95, eps(B):0.01, eps(E):0.01
Episode 283/300, BossReward: 686.20, EnemyReward: 263.90, eps(B):0.01, eps(E):0.01
Episode 284/300, BossReward: 562.60, EnemyReward: 449.20, eps(B):0.01, eps(E):0.01
Episode 285/300, BossReward: 498.60, EnemyReward: 395.40, eps(B):0.01, eps(E):0.01
Episode 286/300, BossReward: 638.80, EnemyReward: 136.75, eps(B):0.01, eps(E):0.01
Episode 287/300, BossReward: 698.10, EnemyReward: 46.35, eps(B):0.01, eps(E):0.01
Episode 288/300, BossReward: 632.10, EnemyReward: 145.70, eps(B):0.01, eps(E):0.01
